園代碼,園名,學年度,資料表,指標,資料類別,數值,前一年數值,YoY變化額,YoY變化率,歷史均值,歷史標準差,移動平均_近3年,Zscore
N01,安溪,109,收支餘絀表,本期稅前餘絀,收支,-215209.0,,,,-215209.0,,-215209.0,
N01,安溪,110,收支餘絀表,本期稅前餘絀,收支,218557.0,-215209.0,433766.0,2.0155569702010605,1674.0,306718.880048164,1674.0,0.7071067811865475
N01,安溪,111,收支餘絀表,本期稅前餘絀,收支,649872.0,218557.0,431315.0,1.9734668759179528,217740.0,432541.07869311096,217740.0,0.9990542431383698
N01,安溪,112,收支餘絀表,本期稅前餘絀,收支,250799.0,649872.0,-399073.0,-0.6140793879410099,226004.75,353554.91917793575,373076.0,0.07012842603816706
N01,安溪,113,收支餘絀表,本期稅前餘絀,收支,-1988771.0,250799.0,-2239570.0,-8.929740549204741,-216950.4,1036724.2329635206,-362700.0,-1.7090567999314292
N01,安溪,109,收支餘絀表,本期稅後餘絀,收支,,,,,,,,
N01,安溪,110,收支餘絀表,本期稅後餘絀,收支,218557.0,,,,218557.0,,218557.0,
N01,安溪,111,收支餘絀表,本期稅後餘絀,收支,649872.0,218557.0,431315.0,1.9734668759179528,434214.5,304985.7613274757,434214.5,0.7071067811865476
N01,安溪,112,收支餘絀表,本期稅後餘絀,收支,250799.0,649872.0,-399073.0,-0.6140793879410099,373076.0,240253.83629195185,373076.0,-0.5089492092497176
N01,安溪,113,收支餘絀表,本期稅後餘絀,收支,,250799.0,,,373076.0,240253.83629195185,450335.5,
N01,安溪,109,收支餘絀表,材料費,收支,943915.0,,,,943915.0,,943915.0,
N01,安溪,110,收支餘絀表,材料費,收支,1245534.0,943915.0,301619.0,0.31954042472044625,1094724.5,213276.84023470528,1094724.5,0.7071067811865476
N01,安溪,111,收支餘絀表,材料費,收支,2084531.0,1245534.0,838997.0,0.6736042532761048,1424660.0,591029.4474651834,1424660.0,1.1164773647574842
N01,安溪,112,收支餘絀表,材料費,收支,2216621.0,2084531.0,132090.0,0.0633667717102792,1622650.25,624241.7492934262,1848895.3333333333,0.951507570059693
N01,安溪,113,收支餘絀表,材料費,收支,1890864.0,2216621.0,-325757.0,-0.14696107273187434,1676293.0,553756.3040801432,2064005.3333333333,0.3874827219464862
N01,安溪,109,收支餘絀表,業務發展費,收支,1592844.0,,,,1592844.0,,1592844.0,
N01,安溪,110,收支餘絀表,業務發展費,收支,1099000.0,1592844.0,-493844.0,-0.31003915009881694,1345922.0,349200.44124828937,1345922.0,-0.7071067811865476
N01,安溪,111,收支餘絀表,業務發展費,收支,1300000.0,1099000.0,201000.0,0.18289353958143767,1330614.6666666667,248341.33253514877,1330614.6666666667,-0.12327656598336777
N01,安溪,112,收支餘絀表,業務發展費,收支,2388000.0,1300000.0,1088000.0,0.8369230769230769,1594961.0,566243.3641265329,1595666.6666666667,1.4005267880239338
N01,安溪,113,收支餘絀表,業務發展費,收支,5420000.0,2388000.0,3032000.0,1.269681742043551,2359968.8,1779510.6998462246,3036000.0,1.7195913462416557
N01,安溪,109,收支餘絀表,業務費,收支,250735.0,,,,250735.0,,250735.0,
N01,安溪,110,收支餘絀表,業務費,收支,300404.0,250735.0,49669.0,0.19809360480188246,275569.5,35121.28671475463,275569.5,0.7071067811865476
N01,安溪,111,收支餘絀表,業務費,收支,401715.0,300404.0,101311.0,0.33724917111623015,317618.0,76947.91385736199,317618.0,1.0929081216664334
N01,安溪,112,收支餘絀表,業務費,收支,394450.0,401715.0,-7265.0,-0.01808496073086641,336826.0,73641.76817993079,365523.0,0.7824907172137125
N01,安溪,113,收支餘絀表,業務費,收支,382209.0,394450.0,-12241.0,-0.031033084041069844,345902.6,66927.24298295875,392791.3333333333,0.542475655380642
N01,安溪,109,收支餘絀表,維護費,收支,17192.0,,,,17192.0,,17192.0,
