園代碼,園名,學年度,資料表,指標,數值,資料類別
N01,安溪,110,資產負債表,預收款項,3078815.0,非收支
N01,安溪,111,資產負債表,預收款項,4798921.0,非收支
N01,安溪,112,資產負債表,預收款項,5207452.0,非收支
N01,安溪,113,資產負債表,預收款項,4324548.0,非收支
N01,安溪,110,資產負債表,餘絀總額,1570947.0,非收支
N01,安溪,111,資產負債表,餘絀總額,2220819.0,非收支
N01,安溪,112,資產負債表,餘絀總額,2471618.0,非收支
N01,安溪,113,資產負債表,餘絀總額,482847.0,非收支
N01,安溪,110,附表三,事務機器耗材-執行率,84.0,非收支
N01,安溪,111,附表三,事務機器耗材-執行率,83.0,非收支
N01,安溪,112,附表三,事務機器耗材-執行率,82.0,非收支
N01,安溪,113,附表三,事務機器耗材-執行率,62.0,非收支
N01,安溪,110,附表三,事務機器耗材-決算數,50284.0,非收支
N01,安溪,111,附表三,事務機器耗材-決算數,54177.0,非收支
N01,安溪,112,附表三,事務機器耗材-決算數,53091.0,非收支
N01,安溪,113,附表三,事務機器耗材-決算數,40460.0,非收支
N01,安溪,112,附表三,五日未上課退費-執行率,,非收支
N01,安溪,113,附表三,五日未上課退費-執行率,,非收支
N01,安溪,112,附表三,五日未上課退費-決算數,-30378.0,非收支
N01,安溪,113,附表三,五日未上課退費-決算數,-46044.0,非收支
N01,安溪,112,附表三,人事費-執行率,88.0,非收支
N01,安溪,113,附表三,人事費-執行率,87.0,非收支
N01,安溪,112,附表三,人事費-決算數,11797585.0,非收支
N01,安溪,113,附表三,人事費-決算數,11978248.0,非收支
N01,安溪,112,附表三,代課費及代班費-執行率,75.0,非收支
N01,安溪,113,附表三,代課費及代班費-執行率,59.0,非收支
N01,安溪,112,附表三,代課費及代班費-決算數,198190.0,非收支
N01,安溪,113,附表三,代課費及代班費-決算數,156896.0,非收支
N01,安溪,110,附表三,保全-執行率,40.0,非收支
N01,安溪,111,附表三,保全-執行率,50.0,非收支
N01,安溪,112,附表三,保全-執行率,40.0,非收支
N01,安溪,113,附表三,保全-執行率,40.0,非收支
N01,安溪,110,附表三,保全-決算數,24000.0,非收支
N01,安溪,111,附表三,保全-決算數,29925.0,非收支
N01,安溪,112,附表三,保全-決算數,24000.0,非收支
